outer_target,router_candidate,feature_mode,validation_site,router_seed,best_epoch,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,support_only,support_only,hungary,5063,34,10.0,0.6055832505226135,0.48415443301200867,0.5972628593444824,0.6146063208580017,0.6131166815757751,0.0014896392822265625,0.5548719167709351,0.0,1.0962027311325073
cleveland,support_only,support_only,hungary,5063,34,20.0,0.6035156846046448,0.4829180836677551,0.5962703824043274,0.6129471063613892,0.6131166815757751,0.0,0.555123507976532,0.0,1.0930970907211304
cleveland,support_only,support_only,hungary,5063,34,30.0,0.6018757224082947,0.48210859298706055,0.5950810313224792,0.6108385324478149,0.6131166815757751,0.0,0.5553603172302246,0.0,1.0840390920639038
cleveland,support_only,support_only,hungary,5063,34,40.0,0.5998099446296692,0.4822373390197754,0.5935859680175781,0.6081587076187134,0.6131166815757751,0.0,0.5564640164375305,0.0,1.0624226331710815
cleveland,support_only,support_only,hungary,5063,34,50.0,0.5975371599197388,0.48409977555274963,0.5919713377952576,0.6051387786865234,0.6131166815757751,0.0,0.5579463243484497,0.0,1.0179007053375244
cleveland,support_only,support_only,hungary,5063,34,60.0,0.5955293774604797,0.4868071675300598,0.590503990650177,0.6024667024612427,0.6131166815757751,0.0,0.5594409108161926,0.0,0.955978274345398
cleveland,support_only,support_only,hungary,5063,34,70.0,0.5937783122062683,0.4885806143283844,0.5891225337982178,0.6002348065376282,0.6131166815757751,0.0,0.560291051864624,0.0,0.9003346562385559
cleveland,support_only,support_only,hungary,5063,34,80.0,0.5924932360649109,0.4934462606906891,0.5880695581436157,0.598619282245636,0.6131166815757751,0.0,0.5607326030731201,0.0,0.8512340784072876
cleveland,support_only,support_only,hungary,5064,25,1.0,0.6059895157814026,0.48354408144950867,0.5975626707077026,0.6148622632026672,0.6131166815757751,0.0017455816268920898,0.5552027225494385,0.0,1.0957609415054321
cleveland,support_only,support_only,hungary,5064,25,10.0,0.6037911772727966,0.4826621115207672,0.5965608954429626,0.6131616830825806,0.6131166815757751,4.500150680541992e-05,0.55536949634552,0.0,1.0926040410995483
cleveland,support_only,support_only,hungary,5064,25,20.0,0.6021696329116821,0.482018381357193,0.5953981280326843,0.6111095547676086,0.6131166815757751,0.0,0.5558226108551025,0.0,1.084185004234314
cleveland,support_only,support_only,hungary,5064,25,30.0,0.6002160310745239,0.48203611373901367,0.5940127372741699,0.6085515022277832,0.6131166815757751,0.0,0.5566501617431641,0.0,1.0661003589630127
cleveland,support_only,support_only,hungary,5064,25,40.0,0.5981952548027039,0.48331576585769653,0.5925708413124084,0.6058806777000427,0.6131166815757751,0.0,0.5577293634414673,0.0,1.030510663986206
cleveland,support_only,support_only,hungary,5064,25,50.0,0.5964177846908569,0.48508214950561523,0.591286301612854,0.6035093665122986,0.6131166815757751,0.0,0.5599900484085083,0.0,0.9800317287445068
cleveland,support_only,support_only,hungary,5064,25,60.0,0.5949879884719849,0.48603591322898865,0.5902199745178223,0.601618766784668,0.6131166815757751,0.0,0.5610910654067993,0.0,0.9313889741897583
cleveland,support_only,support_only,hungary,5064,25,70.0,0.5936432480812073,0.48818522691726685,0.5891886949539185,0.5998846292495728,0.6131166815757751,0.0,0.5610398054122925,0.0,0.8934397101402283
cleveland,support_only,support_only,hungary,5065,40,1.0,0.6080532670021057,0.4853940010070801,0.5984324812889099,0.6164893507957458,0.6131166815757751,0.003372669219970703,0.5545880198478699,0.0,1.0939865112304688
cleveland,support_only,support_only,hungary,5065,40,10.0,0.6064562201499939,0.4848235249519348,0.5976285934448242,0.6152938008308411,0.6131166815757751,0.002177119255065918,0.5547442436218262,0.0,1.0935173034667969
cleveland,support_only,support_only,hungary,5065,40,20.0,0.6046241521835327,0.4839797914028168,0.5967147350311279,0.6139152646064758,0.6131166815757751,0.0007985830307006836,0.5550180673599243,0.0,1.0901072025299072
cleveland,support_only,support_only,hungary,5065,40,30.0,0.6028478741645813,0.48309525847435,0.5956485271453857,0.6122099161148071,0.6131166815757751,0.0,0.5555109977722168,0.0,1.0813326835632324
