outer_target,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
switzerland,equal_logit_blend,empirical_source,7,123.0,0.9349593495934959,0.8021739130434782,0.9780691993434707,0.5487620257441306,0.5461583264853203,0.18276769056988895,0.17972427142703873,0.7317073170731707,0.7983695652173913,0.8341708542713567,0.9880952380952381,0.7217391304347827,0.7304347826086957,2.7031692073235325,1.0568675063631099,0.1805937652336826
switzerland,equal_logit_blend,empirical_source,8,123.0,0.9349593495934959,0.7663043478260869,0.9705593285660067,0.5282913640262583,0.5673071705520363,0.17586636584382984,0.1908892198385632,0.7073170731707317,0.6690217391304347,0.82,0.9647058823529412,0.7130434782608696,0.6521739130434783,2.624277676609549,1.1000177317813986,0.15167707133198582
switzerland,equal_logit_blend,empirical_source,9,123.0,0.9349593495934959,0.7836956521739131,0.9752861312646365,0.5284731494470275,0.5608814631294153,0.17602088589223486,0.18709609046821,0.7154471544715447,0.7315217391304347,0.8241206030150754,0.9761904761904762,0.7130434782608696,0.6869565217391305,2.6244912167129804,1.1139834979791656,0.1490924998598507
switzerland,equal_logit_blend,mar_age_sex_30,0,123.0,0.9349593495934959,0.7565217391304347,0.9716873940476194,0.5363205217258435,0.5831594469505179,0.17876380094231406,0.19714083090367385,0.7398373983739838,0.6864130434782609,0.8431372549019608,0.9662921348314607,0.7478260869565218,0.5217391304347826,2.6034237487863203,1.0638903998076716,0.150355463224886
switzerland,equal_logit_blend,mar_age_sex_30,1,123.0,0.9349593495934959,0.7478260869565218,0.9669009007528213,0.5221813159672722,0.6050608298182663,0.17086064268511122,0.20455233669353912,0.7804878048780488,0.7663043478260869,0.8695652173913043,0.9782608695652174,0.782608695652174,0.3826086956521739,2.5109554057043595,0.8973753019614925,0.1629349156936385
switzerland,equal_logit_blend,mar_age_sex_30,2,123.0,0.9349593495934959,0.7565217391304349,0.9719567569099177,0.5598667813886703,0.5899300979789782,0.18793207679505963,0.20116458358066594,0.6829268292682927,0.6559782608695652,0.8020304568527918,0.9634146341463414,0.6869565217391305,0.6347826086956522,2.618978697353183,0.9007628246237378,0.1991682584462707
switzerland,equal_logit_blend,mar_age_sex_30,3,123.0,0.9349593495934959,0.7793478260869565,0.9753502905829692,0.5169034998935239,0.5570744641425105,0.16738017914217668,0.18665808275769544,0.7886178861788617,0.7706521739130434,0.875,0.978494623655914,0.7913043478260869,0.4956521739130435,2.5880215008296292,1.052446773029996,0.16767217454239972
switzerland,equal_logit_blend,mar_age_sex_30,4,123.0,0.9349593495934959,0.7630434782608696,0.9622569983635936,0.5178737350043365,0.5776615705302236,0.16991186515059845,0.19117980749158622,0.7560975609756098,0.7532608695652174,0.8529411764705882,0.9775280898876404,0.7565217391304347,0.34782608695652173,2.6277400997575047,1.1669329599872387,0.14749635392608842
switzerland,equal_logit_blend,mar_age_sex_30,5,123.0,0.9349593495934959,0.8032608695652174,0.9736145815167729,0.4940703350108275,0.534753900964346,0.1602061298562661,0.17459274173761918,0.7560975609756098,0.7532608695652174,0.8529411764705882,0.9775280898876404,0.7565217391304347,0.6695652173913044,2.6119570562811916,1.2985542377028525,0.12431508846319123
switzerland,equal_logit_blend,mar_age_sex_30,6,123.0,0.9349593495934959,0.7760869565217392,0.970765447144486,0.5081773094585638,0.5702209091542098,0.1672193926119731,0.1898871263913194,0.7479674796747967,0.7489130434782609,0.8472906403940886,0.9772727272727273,0.7478260869565218,0.43478260869565216,2.605444508248253,1.1697967996397958,0.1314233101834167
switzerland,equal_logit_blend,mar_age_sex_30,7,123.0,0.9349593495934959,0.8032608695652174,0.9746037096411844,0.5397560541292974,0.5474094491762295,0.18088083631096427,0.1812406124629763,0.7073170731707317,0.7271739130434782,0.8181818181818182,0.9759036144578314,0.7043478260869566,0.6,2.769284358860713,1.300828991490161,0.15764627101115827
switzerland,equal_logit_blend,mar_age_sex_30,8,123.0,0.9349593495934959,0.8239130434782609,0.9854264861623283,0.5120598045531707,0.5193954344618744,0.16985363579733345,0.17708297223039787,0.7317073170731707,0.6820652173913043,0.8374384236453202,0.9659090909090909,0.7391304347826086,0.6608695652173913,2.6667408642618367,1.179404597744413,0.13036533056717647
switzerland,equal_logit_blend,mar_age_sex_30,9,123.0,0.9349593495934959,0.8065217391304348,0.9831931652647488,0.5317071448208072,0.5390823865236154,0.1768415876098337,0.18235199998266044,0.7317073170731707,0.6820652173913043,0.8374384236453202,0.9659090909090909,0.7391304347826086,0.6521739130434783,2.633673326657651,1.120622260646818,0.15134476245775072
switzerland,equal_logit_blend,mcar_10,0,123.0,0.9349593495934959,0.8097826086956521,0.9778494677634777,0.5249475268916552,0.5435090177328448,0.17407823160936697,0.17782134566211194,0.7398373983739838,0.7445652173913043,0.8415841584158416,0.9770114942528736,0.7391304347826086,0.7217391304347827,2.660787168164287,1.1855435433073858,0.1466951725666046
switzerland,equal_logit_blend,mcar_10,1,123.0,0.9349593495934959,0.7315217391304347,0.9699555375666089,0.5366363836942336,0.6110704636822387,0.17820902101036945,0.20812870754737287,0.7154471544715447,0.6733695652173913,0.8258706467661692,0.9651162790697675,0.7217391304347827,0.4956521739130435,2.508378657659316,0.8383137414454226,0.17023617500471716
switzerland,equal_logit_blend,mcar_10,2,123.0,0.9349593495934959,0.7945652173913044,0.9759059501081775,0.5235223460705708,0.5540043042255498,0.17301933570906436,0.1822533066847666,0.7560975609756098,0.7532608695652174,0.8529411764705882,0.9775280898876404,0.7565217391304347,0.7217391304347827,2.6099346082822055,1.1044732933442787,0.1447591244268742
switzerland,equal_logit_blend,mcar_10,3,123.0,0.9349593495934959,0.8358695652173913,0.9861285411045191,0.5101794590538791,0.5010697016909793,0.16982087388137845,0.16763618822880128,0.7398373983739838,0.7445652173913043,0.8415841584158416,0.9770114942528736,0.7391304347826086,0.7391304347826086,2.7404245487806116,1.400654138135953,0.12182540629125373
switzerland,equal_logit_blend,mcar_10,4,123.0,0.9349593495934959,0.7717391304347827,0.9746787528996174,0.5471860127334017,0.580992067888963,0.18213643691046505,0.19592935390746732,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.6608695652173913,2.616034798944739,0.9119431574233984,0.17144841072017689
switzerland,equal_logit_blend,mcar_10,5,123.0,0.9349593495934959,0.7597826086956523,0.9679964735980998,0.527893238180334,0.5851654349609089,0.17553315481528256,0.1965075182551302,0.7398373983739838,0.6864130434782609,0.8431372549019608,0.9662921348314607,0.7478260869565218,0.5217391304347826,2.5907394958169028,1.050873005699855,0.1525220657408518
switzerland,equal_logit_blend,mcar_10,6,123.0,0.9349593495934959,0.7880434782608696,0.9748121539944613,0.5386998787462731,0.5534523279802914,0.17843280180536025,0.18421512066112686,0.7398373983739838,0.7445652173913043,0.8415841584158416,0.9770114942528736,0.7391304347826086,0.7130434782608696,2.6984896406999677,1.0780696566300558,0.18477087695663996
switzerland,equal_logit_blend,mcar_10,7,123.0,0.9349593495934959,0.7543478260869566,0.9689376843470932,0.5382125794327336,0.5858220084798923,0.17916806160230642,0.19733846584427306,0.7317073170731707,0.6820652173913043,0.8374384236453202,0.9659090909090909,0.7391304347826086,0.6347826086956522,2.5775185623748564,1.03498620704513,0.16329257406427544
switzerland,equal_logit_blend,mcar_10,8,123.0,0.9349593495934959,0.8054347826086956,0.9780239273672108,0.5275489947830152,0.5561052106631434,0.17507965587150265,0.18239763026501402,0.7398373983739838,0.8027173913043478,0.84,0.9882352941176471,0.7304347826086957,0.782608695652174,2.6014520985069316,1.1428393499215892,0.14717045912680676
switzerland,equal_logit_blend,mcar_10,9,123.0,0.9349593495934959,0.7891304347826088,0.9772689448663717,0.5145921387107733,0.5535512235147798,0.16841597569350658,0.1840281287354892,0.7642276422764228,0.7576086956521739,0.8585365853658536,0.9777777777777777,0.7652173913043478,0.5391304347826087,2.580220757447039,1.076192677192619,0.14900449096907192
