outer_target,router_candidate,validation_site,router_seed,site_worst_balanced_log_loss,natural_roc_auc
switzerland,support_only,cleveland,5069,0.6224302904817629,0.7945652173913044
switzerland,support_only,cleveland,5070,0.6207680563154018,0.7945652173913044
switzerland,support_only,cleveland,5071,0.6192900517530546,0.7945652173913043
switzerland,support_only,hungary,5062,0.6182330169814609,0.8076086956521739
switzerland,support_only,hungary,5063,0.623677204101504,0.8032608695652175
switzerland,support_only,hungary,5064,0.6206756473599011,0.807608695652174
switzerland,support_only,hungary,5065,0.6187249471650298,0.8010869565217391
switzerland,support_only,hungary,5066,0.6198719295693924,0.8043478260869565
switzerland,support_only,hungary,5067,0.6239873306995776,0.8010869565217391
switzerland,support_only,hungary,5068,0.6224217176754613,0.8021739130434782
switzerland,support_only,hungary,5069,0.6198334310633115,0.8076086956521739
switzerland,support_only,hungary,5070,0.6201584059832734,0.8021739130434782
switzerland,support_only,hungary,5071,0.6192803589516978,0.8043478260869564
switzerland,support_only,va_long_beach,5062,0.6174444093064854,0.8076086956521739
switzerland,support_only,va_long_beach,5063,0.6236086898666495,0.8043478260869565
switzerland,support_only,va_long_beach,5064,0.620988045500218,0.8032608695652175
switzerland,support_only,va_long_beach,5065,0.62117811660394,0.8032608695652175
switzerland,support_only,va_long_beach,5066,0.6266556059882464,0.7978260869565218
switzerland,support_only,va_long_beach,5067,0.6159561840101315,0.8065217391304348
switzerland,support_only,va_long_beach,5068,0.616803165144935,0.807608695652174
switzerland,support_only,va_long_beach,5069,0.6192934358522244,0.807608695652174
switzerland,support_only,va_long_beach,5070,0.6207406037387807,0.808695652173913
switzerland,support_only,va_long_beach,5071,0.6165214878525384,0.8043478260869565
switzerland,support_plus_expert_context,cleveland,5062,0.6184868244612631,0.8
switzerland,support_plus_expert_context,cleveland,5063,0.6189576753700606,0.7989130434782609
switzerland,support_plus_expert_context,cleveland,5064,0.6203905852292526,0.7967391304347826
switzerland,support_plus_expert_context,cleveland,5065,0.6201275589362201,0.7989130434782609
switzerland,support_plus_expert_context,cleveland,5066,0.6195621467994568,0.7989130434782608
switzerland,support_plus_expert_context,cleveland,5067,0.6190315946922855,0.7978260869565217
switzerland,support_plus_expert_context,cleveland,5068,0.6190337843516023,0.7989130434782609
switzerland,support_plus_expert_context,cleveland,5069,0.618568293613444,0.7989130434782609
switzerland,support_plus_expert_context,cleveland,5070,0.6175427177366167,0.8010869565217391
switzerland,support_plus_expert_context,cleveland,5071,0.6219342148315175,0.7934782608695652
switzerland,support_plus_expert_context,hungary,5062,0.6116874635028446,0.808695652173913
switzerland,support_plus_expert_context,hungary,5063,0.6123893368422202,0.8065217391304348
switzerland,support_plus_expert_context,hungary,5064,0.6138637739198012,0.807608695652174
switzerland,support_plus_expert_context,hungary,5065,0.6133504707534448,0.808695652173913
switzerland,support_plus_expert_context,hungary,5066,0.6121784115417409,0.8108695652173913
switzerland,support_plus_expert_context,hungary,5067,0.6120126283315428,0.8119565217391305
switzerland,support_plus_expert_context,hungary,5068,0.6106456730289962,0.807608695652174
switzerland,support_plus_expert_context,hungary,5069,0.6112212454806347,0.808695652173913
switzerland,support_plus_expert_context,hungary,5070,0.6092048416093885,0.8097826086956521
switzerland,support_plus_expert_context,hungary,5071,0.6126571512921566,0.8119565217391305
switzerland,support_plus_expert_context,va_long_beach,5062,0.6160234816394106,0.8054347826086956
switzerland,support_plus_expert_context,va_long_beach,5063,0.6117013016771713,0.808695652173913
switzerland,support_plus_expert_context,va_long_beach,5064,0.624998420929914,0.8065217391304347
switzerland,support_plus_expert_context,va_long_beach,5065,0.618697288570295,0.8043478260869565
switzerland,support_plus_expert_context,va_long_beach,5066,0.613957086139733,0.808695652173913
switzerland,support_plus_expert_context,va_long_beach,5067,0.6109289547780803,0.807608695652174
switzerland,support_plus_expert_context,va_long_beach,5068,0.616906887674015,0.8065217391304347
switzerland,support_plus_expert_context,va_long_beach,5069,0.619197449845686,0.807608695652174
switzerland,support_plus_expert_context,va_long_beach,5070,0.6163113977447601,0.807608695652174
switzerland,support_plus_expert_context,va_long_beach,5071,0.6162011861556653,0.808695652173913
switzerland,anchor_relative_context,cleveland,5062,0.618694314360619,0.8
switzerland,anchor_relative_context,cleveland,5063,0.6188890219190706,0.7989130434782609
switzerland,anchor_relative_context,cleveland,5064,0.620504273021989,0.7956521739130435
switzerland,anchor_relative_context,cleveland,5065,0.6202434301609479,0.7978260869565217
switzerland,anchor_relative_context,cleveland,5066,0.6197963935588563,0.8
switzerland,anchor_relative_context,cleveland,5067,0.6190211675323505,0.7978260869565217
switzerland,anchor_relative_context,cleveland,5068,0.6190819204444009,0.7989130434782609
switzerland,anchor_relative_context,cleveland,5069,0.6188551373943489,0.7989130434782608
switzerland,anchor_relative_context,cleveland,5070,0.617960069071672,0.8010869565217391
switzerland,anchor_relative_context,cleveland,5071,0.6217346525732799,0.7934782608695652
switzerland,anchor_relative_context,hungary,5062,0.6187200843005602,0.7978260869565217
switzerland,anchor_relative_context,hungary,5063,0.6202490806419745,0.7978260869565217
switzerland,anchor_relative_context,hungary,5064,0.6212918366496036,0.7945652173913044
switzerland,anchor_relative_context,hungary,5065,0.6202049343056552,0.7967391304347826
switzerland,anchor_relative_context,hungary,5066,0.6198589735648903,0.7989130434782608
switzerland,anchor_relative_context,hungary,5067,0.6191194425286841,0.798913043478261
switzerland,anchor_relative_context,hungary,5068,0.6196775047559149,0.7956521739130435
switzerland,anchor_relative_context,hungary,5069,0.6203249446834619,0.7956521739130435
switzerland,anchor_relative_context,hungary,5070,0.6187477784076403,0.7978260869565217
switzerland,anchor_relative_context,hungary,5071,0.620701256333275,0.7945652173913044
switzerland,anchor_relative_context,va_long_beach,5062,0.618578103440151,0.7989130434782608
switzerland,anchor_relative_context,va_long_beach,5063,0.6200602731463127,0.7978260869565217
switzerland,anchor_relative_context,va_long_beach,5064,0.6211956799818199,0.7956521739130435
switzerland,anchor_relative_context,va_long_beach,5065,0.6198992168776409,0.7978260869565217
switzerland,anchor_relative_context,va_long_beach,5066,0.6196743206227523,0.8
switzerland,anchor_relative_context,va_long_beach,5067,0.6189163248092466,0.798913043478261
switzerland,anchor_relative_context,va_long_beach,5068,0.6194942094276643,0.7967391304347826
switzerland,anchor_relative_context,va_long_beach,5069,0.6200309022389752,0.7956521739130435
switzerland,anchor_relative_context,va_long_beach,5070,0.6186837231545033,0.7978260869565217
switzerland,anchor_relative_context,va_long_beach,5071,0.6204509873837054,0.7967391304347826
va_long_beach,support_only,cleveland,5062,0.7012209880828498,0.7148308988024741
va_long_beach,support_only,cleveland,5063,0.7080666356512779,0.711935781023819
va_long_beach,support_only,cleveland,5064,0.7100029526483549,0.7075931043558363
va_long_beach,support_only,cleveland,5065,0.7092889923159429,0.7115409922358205
va_long_beach,support_only,cleveland,5066,0.6972854025258217,0.7149624950651402
va_long_beach,support_only,cleveland,5067,0.693721787810107,0.7207527306224504
va_long_beach,support_only,cleveland,5068,0.7085625528004438,0.7107514146598237
va_long_beach,support_only,cleveland,5069,0.6942978623379847,0.7164100539544679
va_long_beach,support_only,cleveland,5070,0.7008938873612236,0.7148308988024741
va_long_beach,support_only,cleveland,5071,0.7057116829068706,0.7127253585998158
va_long_beach,support_only,hungary,5062,0.6887585624957898,0.7235162521384393
va_long_beach,support_only,hungary,5063,0.6848173001195557,0.7247006185024346
va_long_beach,support_only,hungary,5064,0.687180039636448,0.7266745624424268
va_long_beach,support_only,hungary,5065,0.6866294169098982,0.7253585998157652
va_long_beach,support_only,hungary,5066,0.6927574448768976,0.723253059613107
va_long_beach,support_only,hungary,5067,0.6892982053494247,0.7256217923410976
