method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_10,9,0.6873045653533457,123.0,0.9349593495934959,0.8195652173913044,0.9830337381777152,0.5208635065862153,0.5198675285909875,0.17011504235502145,0.1708731850203858,0.7317073170731707,0.7402173913043478,0.835820895522388,0.9767441860465116,0.7304347826086957,0.6782608695652174,2.6535011115254865,1.0218035759689976,0.15552886453139356
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,0,0.5303314571607254,123.0,0.9349593495934959,0.7510869565217392,0.9696893341870427,0.6833140509623294,0.6166984158996917,0.23880250508061085,0.20997013726835895,0.5934959349593496,0.6663043478260869,0.7282608695652174,0.9710144927536232,0.5826086956521739,0.5043478260869565,2.848834671701037,0.7737811389806613,0.2991683717674285
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,1,0.543464665415885,123.0,0.9349593495934959,0.8402173913043478,0.9867772656557744,0.575593066801356,0.5023619752468667,0.19371053017978287,0.16468055684938987,0.7154471544715447,0.7896739130434782,0.8223350253807107,0.9878048780487805,0.7043478260869566,0.7217391304347827,2.9151695498831276,1.2162649241053336,0.203060386110944
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,2,0.5359599749843653,123.0,0.9349593495934959,0.7869565217391303,0.9716257248327765,0.5915674860896216,0.5585005541699566,0.20113559794982835,0.1839854139801405,0.6910569105691057,0.7184782608695652,0.8061224489795918,0.9753086419753086,0.6869565217391305,0.6086956521739131,2.847850953096796,1.1341451253254264,0.2226602061484812
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,3,0.541588492808005,123.0,0.9349593495934959,0.7456521739130434,0.972189422462104,0.6494423816163696,0.6052831502795682,0.22531159162614794,0.20415179558449353,0.6585365853658537,0.7592391304347825,0.7789473684210526,0.9866666666666667,0.6434782608695652,0.6695652173913044,2.752715010023178,0.7879619247384488,0.2798727728959968
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,4,0.5140712945590995,123.0,0.9349593495934959,0.7467391304347826,0.9772474218149735,0.6378525079696754,0.60057159654178,0.2210460184029931,0.20925575742454983,0.6504065040650406,0.6385869565217391,0.7772020725388601,0.9615384615384616,0.6521739130434783,0.5304347826086957,2.7428510394070424,0.7759146762920343,0.24491043072444743
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,5,0.5222013758599124,123.0,0.9349593495934959,0.8326086956521739,0.9774714361446986,0.5863330846710334,0.5128340997402406,0.19760817901887393,0.16483879191625225,0.6991869918699187,0.7809782608695652,0.8102564102564103,0.9875,0.6869565217391305,0.8869565217391304,3.086685842103005,1.2894345602896713,0.22711515146007577
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,6,0.539712320200125,123.0,0.9349593495934959,0.8184782608695652,0.9851845104356229,0.628408797038222,0.5252351612200716,0.21829556977999973,0.17405674219358275,0.6422764227642277,0.7505434782608695,0.7659574468085106,0.9863013698630136,0.6260869565217392,0.7478260869565218,2.9826624944474167,1.1131299869172275,0.23571372566693052
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,7,0.5497185741088182,123.0,0.9349593495934959,0.7510869565217391,0.9723632003928937,0.6755655796167752,0.6001601832506037,0.23311860054636865,0.19936070191356584,0.6666666666666666,0.7635869565217391,0.7853403141361257,0.9868421052631579,0.6521739130434783,0.7565217391304347,2.809242704979326,0.7453805251444839,0.30604808639657327
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,8,0.5372107567229518,123.0,0.9349593495934959,0.8826086956521739,0.9911510180258256,0.5919977724935744,0.46061781164186766,0.20222617496082881,0.14635168887320088,0.6747967479674797,0.7679347826086956,0.7916666666666666,0.987012987012987,0.6608695652173913,0.7913043478260869,3.2586321976172403,1.402760440603002,0.19876011008661715
