method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,3,0.668076923076923,200.0,0.745,0.7461508093170154,0.8928243950906676,0.5167101735157715,0.6360235869085276,0.1697265470832801,0.2234629616310398,0.755,0.6227793130675089,0.8444444444444444,0.8012048192771084,0.8926174496644296,0.6174496644295302,0.36878047196485847,1.2140697840502093,0.1263953880993724
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,4,0.67,200.0,0.745,0.734438741939729,0.8807721020268969,0.524739154177507,0.6475761668915914,0.173255403461567,0.22815450846566926,0.755,0.6292275299381498,0.8434504792332268,0.8048780487804879,0.8859060402684564,0.6241610738255033,0.4336523680267869,1.0778338737703268,0.14050808655497427
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,5,0.6761538461538461,200.0,0.745,0.7297012764837478,0.872420519596099,0.5228457475912563,0.6505496504277628,0.17210399565246962,0.2289075145466402,0.76,0.6261350177654955,0.8481012658227848,0.8023952095808383,0.8993288590604027,0.6174496644295302,0.3905125496332738,1.1245460189266492,0.14341629574227072
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,6,0.666923076923077,200.0,0.745,0.7368732727990526,0.8698982531793626,0.5255739105016809,0.6486170219280158,0.1732518178821063,0.22814450564695116,0.76,0.6261350177654955,0.8481012658227848,0.8023952095808383,0.8993288590604027,0.6375838926174496,0.43404620121194765,1.0751066639005145,0.15141887190637818
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,7,0.6707692307692308,200.0,0.745,0.7206869324911173,0.8573940203999302,0.5309452090168818,0.6561865281129966,0.17530711075679034,0.2310168632493917,0.745,0.6160679036715357,0.8370607028753994,0.7987804878048781,0.8791946308724832,0.5637583892617449,0.4561911293557433,1.0464564497329232,0.16090872766125142
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,8,0.673076923076923,200.0,0.745,0.7252928016844322,0.8741199914425296,0.526258422378297,0.652507408199428,0.1734489951053915,0.22967908975864437,0.75,0.6194236083695224,0.8407643312101911,0.8,0.8859060402684564,0.5234899328859061,0.42294838571943527,1.0780438987190497,0.1466280027689354
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,empirical_source,9,0.6765384615384614,200.0,0.745,0.7190419792077906,0.8554689891481548,0.530804302609902,0.656243702316013,0.17508906120452836,0.230835526649478,0.74,0.6127121989735491,0.8333333333333334,0.7975460122699386,0.87248322147651,0.6040268456375839,0.4590410881108666,1.0425551528113568,0.16312029144378876
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,0,0.4988461538461539,200.0,0.745,0.6814054480852744,0.8468212356000591,0.5489743242227478,0.6762846577900423,0.1829295708905174,0.24036287460808736,0.72,0.586392946440321,0.8205128205128205,0.7852760736196319,0.8590604026845637,0.4429530201342282,0.5088763866829669,0.9850079159030531,0.16911899658021798
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,1,0.5107692307692308,200.0,0.745,0.6852217397025925,0.8521040619380909,0.5432741122538775,0.6773515248777753,0.18074080799941497,0.24111946532682185,0.735,0.59001184366364,0.832807570977918,0.7857142857142857,0.8859060402684564,0.5033557046979866,0.46798833787534605,1.000327690428549,0.1621996360012069
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,2,0.4911538461538461,200.0,0.745,0.693249111725227,0.8472327184949662,0.5488097699303612,0.6684688899151645,0.1825708097411247,0.23610719966127827,0.735,0.6158047111462035,0.8284789644012945,0.8,0.8590604026845637,0.3825503355704698,0.5680602887064359,0.9216152901086999,0.17856593336794774
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,3,0.5076923076923077,200.0,0.745,0.695091459402553,0.8429118518338242,0.5410115326552325,0.6751322993887086,0.17914206440045494,0.2391496110447049,0.74,0.5998157652322674,0.8354430379746836,0.7904191616766467,0.8859060402684564,0.38926174496644295,0.44824963525876926,1.0276386759328835,0.171454934562557
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,4,0.5065384615384615,200.0,0.745,0.6946308724832215,0.8403802741910237,0.5397068479086723,0.6700298373253266,0.1787067691627864,0.23662019056543565,0.73,0.5995525727069351,0.8269230769230769,0.7914110429447853,0.8657718120805369,0.5167785234899329,0.4542197128124452,1.043271573804951,0.17438358172374446
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,5,0.4973076923076923,200.0,0.745,0.7085142781944993,0.8663585027114808,0.5447593008565945,0.6666038885022992,0.18170486455186668,0.2367299869752402,0.715,0.5830372417423345,0.8167202572347267,0.7839506172839507,0.8523489932885906,0.5503355704697986,0.5163057429257543,0.9739697442687864,0.16055930821619013
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,6,0.5065384615384616,200.0,0.745,0.701737070667193,0.8724584923206642,0.54536469374487,0.6723298173130363,0.1828850196518048,0.239956075703856,0.72,0.6057375970522437,0.8169934640522876,0.7961783439490446,0.8389261744966443,0.5167785234899329,0.5074165927664757,0.953430457806263,0.15153197944555802
psmask3:v2_prior_separated,dg_zero_shot,va_long_beach,mar_age_sex_30,7,0.4911538461538461,200.0,0.745,0.6960126332412159,0.8575700256255239,0.5471356496152774,0.659545518656467,0.18263624261669953,0.23340657321961122,0.74,0.61916041584419,0.832258064516129,0.8012422360248447,0.8657718120805369,0.5100671140939598,0.531988336932753,1.0547223830097405,0.16040364304445284
