revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes
v1_learned_mean,conditional_translation,512,0.4,0.0,0.396875,10
v1_learned_mean,conditional_translation,512,0.45,0.0,0.4458984375,10
v1_learned_mean,conditional_translation,512,0.5,0.0,0.49375,10
v1_learned_mean,conditional_translation,512,0.55,0.0,0.55,10
v1_learned_mean,conditional_translation,512,0.6,0.0,0.608984375,10
v1_learned_mean,conditional_translation,512,0.65,0.0,0.6544921875,10
v1_learned_mean,conditional_translation,512,0.7,0.0,0.692578125,10
v1_learned_mean,conditional_translation,512,0.75,0.0,0.7515625,10
v1_learned_mean,conditional_translation,512,0.8,0.0,0.8083984375,10
v1_learned_mean,conditional_translation,512,0.85,0.0,0.8505859375,10
v1_learned_mean,conditional_translation,512,0.9,0.0,0.8955078125,10
v1_learned_mean,conditional_translation,512,0.95,0.0,0.9490234375,10
v1_learned_mean,covariance_shear,32,0.05,1.0,0.059375,10
v1_learned_mean,covariance_shear,32,0.1,1.0,0.09375,10
v1_learned_mean,covariance_shear,32,0.15,1.0,0.140625,10
v1_learned_mean,covariance_shear,32,0.2,1.0,0.171875,10
v1_learned_mean,covariance_shear,32,0.25,1.0,0.2375,10
v1_learned_mean,covariance_shear,32,0.3,1.0,0.2890625,20
v1_learned_mean,covariance_shear,32,0.35,1.0,0.325,10
v1_learned_mean,covariance_shear,32,0.4,1.0,0.375,10
v1_learned_mean,covariance_shear,32,0.45,1.0,0.434375,10
v1_learned_mean,covariance_shear,32,0.5,1.0,0.509375,10
v1_learned_mean,covariance_shear,32,0.55,1.0,0.584375,10
v1_learned_mean,covariance_shear,32,0.6,1.0,0.553125,10
v1_learned_mean,covariance_shear,32,0.65,1.0,0.684375,10
v1_learned_mean,covariance_shear,32,0.7,1.0,0.684375,10
v1_learned_mean,covariance_shear,32,0.75,1.0,0.740625,10
v1_learned_mean,covariance_shear,32,0.8,1.0,0.790625,10
v1_learned_mean,covariance_shear,32,0.85,1.0,0.828125,10
v1_learned_mean,covariance_shear,32,0.9,1.0,0.90625,10
v1_learned_mean,covariance_shear,32,0.95,1.0,0.95,10
v1_learned_mean,covariance_shear,64,0.05,1.0,0.059375,10
v1_learned_mean,covariance_shear,64,0.1,1.0,0.1078125,10
v1_learned_mean,covariance_shear,64,0.15,1.0,0.140625,10
v1_learned_mean,covariance_shear,64,0.2,1.0,0.1765625,10
v1_learned_mean,covariance_shear,64,0.25,1.0,0.2640625,10
v1_learned_mean,covariance_shear,64,0.3,1.0,0.31328125,20
v1_learned_mean,covariance_shear,64,0.35,1.0,0.34375,10
v1_learned_mean,covariance_shear,64,0.4,1.0,0.3796875,10
v1_learned_mean,covariance_shear,64,0.45,1.0,0.4578125,10
v1_learned_mean,covariance_shear,64,0.5,1.0,0.4859375,10
v1_learned_mean,covariance_shear,64,0.55,1.0,0.5453125,10
v1_learned_mean,covariance_shear,64,0.6,1.0,0.565625,10
v1_learned_mean,covariance_shear,64,0.65,1.0,0.65625,10
v1_learned_mean,covariance_shear,64,0.7,1.0,0.6984375,10
v1_learned_mean,covariance_shear,64,0.75,1.0,0.7265625,10
v1_learned_mean,covariance_shear,64,0.8,1.0,0.80625,10
v1_learned_mean,covariance_shear,64,0.85,1.0,0.84375,10
v1_learned_mean,covariance_shear,64,0.9,1.0,0.903125,10
v1_learned_mean,covariance_shear,64,0.95,1.0,0.9421875,10
v1_learned_mean,covariance_shear,128,0.05,1.0,0.04453125,10
v1_learned_mean,covariance_shear,128,0.1,1.0,0.1046875,10
v1_learned_mean,covariance_shear,128,0.15,1.0,0.15703125,10
v1_learned_mean,covariance_shear,128,0.2,1.0,0.19140625,10
v1_learned_mean,covariance_shear,128,0.25,1.0,0.24140625,10
v1_learned_mean,covariance_shear,128,0.3,1.0,0.31015625,20
v1_learned_mean,covariance_shear,128,0.35,1.0,0.3578125,10
v1_learned_mean,covariance_shear,128,0.4,1.0,0.4109375,10
v1_learned_mean,covariance_shear,128,0.45,1.0,0.43359375,10
v1_learned_mean,covariance_shear,128,0.5,1.0,0.5078125,10
v1_learned_mean,covariance_shear,128,0.55,1.0,0.55546875,10
v1_learned_mean,covariance_shear,128,0.6,1.0,0.59765625,10
v1_learned_mean,covariance_shear,128,0.65,1.0,0.6640625,10
v1_learned_mean,covariance_shear,128,0.7,1.0,0.68671875,10
v1_learned_mean,covariance_shear,128,0.75,1.0,0.74765625,10
v1_learned_mean,covariance_shear,128,0.8,1.0,0.80703125,10
v1_learned_mean,covariance_shear,128,0.85,1.0,0.84921875,10
v1_learned_mean,covariance_shear,128,0.9,1.0,0.90546875,10
v1_learned_mean,covariance_shear,128,0.95,1.0,0.94375,10
v1_learned_mean,covariance_shear,256,0.05,1.0,0.0546875,10
v1_learned_mean,covariance_shear,256,0.1,1.0,0.0953125,10
v1_learned_mean,covariance_shear,256,0.15,1.0,0.135546875,10
v1_learned_mean,covariance_shear,256,0.2,1.0,0.202734375,10
v1_learned_mean,covariance_shear,256,0.25,1.0,0.244921875,10
v1_learned_mean,covariance_shear,256,0.3,1.0,0.2927734375,20
v1_learned_mean,covariance_shear,256,0.35,1.0,0.3453125,10
v1_learned_mean,covariance_shear,256,0.4,1.0,0.39296875,10
v1_learned_mean,covariance_shear,256,0.45,1.0,0.45625,10
v1_learned_mean,covariance_shear,256,0.5,1.0,0.5125,10
v1_learned_mean,covariance_shear,256,0.55,1.0,0.55625,10
v1_learned_mean,covariance_shear,256,0.6,1.0,0.59609375,10
v1_learned_mean,covariance_shear,256,0.65,1.0,0.658203125,10
v1_learned_mean,covariance_shear,256,0.7,1.0,0.69453125,10
v1_learned_mean,covariance_shear,256,0.75,1.0,0.740625,10
v1_learned_mean,covariance_shear,256,0.8,1.0,0.79375,10
v1_learned_mean,covariance_shear,256,0.85,1.0,0.841796875,10
v1_learned_mean,covariance_shear,256,0.9,1.0,0.895703125,10
v1_learned_mean,covariance_shear,256,0.95,1.0,0.947265625,10
v1_learned_mean,covariance_shear,512,0.05,1.0,0.0515625,10
v1_learned_mean,covariance_shear,512,0.1,1.0,0.1009765625,10
