method,macro_site_worst_mask_balanced_log_loss,worst_site_mask_balanced_log_loss,macro_site_worst_mask_balanced_brier,macro_site_worst_mask_aurc,macro_natural_roc_auc,macro_mcar_balanced_log_loss_auc,macro_mcar50_minus_natural_balanced_log_loss
mirrams:mirrams_equation9,0.6866180276640077,0.73140281019681,0.24436792575747088,0.31813098108430926,0.7938519911644666,0.6504906164550068,0.035468866272902355
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6910735674418822,0.6931887720333514,0.24896844439036622,0.3627530799725375,0.5414718773620155,0.6894603872095949,0.0037399577278977025
tabpfn_v3:tabpfn:pooled:source_oof_platt,0.701261317473264,0.8723153534411422,0.24536640987816868,0.23159560138513785,0.8103043813215646,0.6184718810959273,0.10012702955012194
classical:catboost:site_class_balanced,0.7058646708357421,0.8767162597315109,0.24137841977320473,0.3327547493052633,0.797095227704326,0.6309882256619532,0.09950416004164431
classical:mask_logistic:pooled:source_oof_platt,0.7083343477161648,0.7446365083343937,0.2572672996410889,0.7723658248159814,0.5277287155936928,0.6976060053955782,0.002145134713778918
modern_2026:tabicl:pooled:source_oof_platt,0.7133845532360168,0.9347686743233041,0.244501871772281,0.2456075084500938,0.807209645904833,0.6229583705724921,0.10137133594429948
modern_2026:tabm:pooled:source_oof_platt,0.7135848657807083,0.7787593534889194,0.255879954754345,0.19973677287780456,0.8046839922828914,0.6369595061606933,0.0963917404898845
classical:lightgbm:site_class_balanced,0.7349720997684674,0.9077053515257039,0.24769202388660638,0.4233389390843383,0.7841209122484699,0.6512959737501349,0.10401663923108817
classical:hist_gradient_boosting:site_class_balanced,0.7371838867313324,0.8835465542711788,0.24740777885452808,0.41828144956869473,0.7891140979403816,0.6466133384895114,0.12068619377620807
modern_v2:tabpfn:pooled:source_oof_platt,0.7393703180507107,1.0125860060188985,0.2553771465017787,0.22918240845794718,0.8065900464138757,0.6328893985493333,0.12528480999522185
modern_v2:ebm:site_class_balanced:source_oof_platt,0.7420822433616306,0.8236374594013607,0.26502931464780843,0.20967888891074843,0.7963341823807286,0.6647046971412347,0.12281804773061622
classical:logistic:pooled,0.7453828161352893,0.8490737831521865,0.2590684647182645,0.3147594637790173,0.8136760730750848,0.6245427256594255,0.16310412287688503
classical:core_logistic:pooled,0.7465815831616771,0.8713463717313437,0.26490686490800264,0.28620717759124287,0.7815524656148031,0.667932854859971,0.15707684729739144
modern_2026:realmlp:pooled:source_oof_platt,0.7781717820601587,1.0596539392861792,0.2730413255365707,0.2097793074131551,0.7971920848971654,0.6524001365163343,0.15576154173736456
modern_v2:ebm:site_class_balanced,0.8106796612994194,1.0564518662003908,0.2774320168365045,0.363315412852101,0.7961508242550337,0.671793868854847,0.21295358139585163
modern_2026:ft_transformer:pooled,0.8262051665420137,1.1631088467170847,0.2732066018744657,0.33852566144038276,0.8055044792015087,0.6570513019956006,0.16681342167110597
tabpfn_v3:tabpfn:pooled,0.8279977063995643,1.0458589619085554,0.28236191235193786,0.29709708231527954,0.8103482457803236,0.6605636871286853,0.20377210295120354
modern_2026:tabicl:pooled,0.8408486072221432,1.0830683359822704,0.28085119420270765,0.2938123112990002,0.8072519334804884,0.672261534537862,0.19275784542605223
modern_v2:tabpfn:pooled,0.8948704081642704,1.1859096687190205,0.30287555370470826,0.27326533106951734,0.8066417210563251,0.7004622902563116,0.23493900777066187
classical:elastic_net_logistic:site_class_balanced,0.9244704012799048,1.0105505329380446,0.32956662511370166,0.539569235300139,0.539398522650598,0.8352478438202791,0.07709782837113674
modern_2026:realmlp:pooled,0.977519997867885,1.1910689683631221,0.3282355082469754,0.26894896901385573,0.8003898086784678,0.7149098489737551,0.33248674719876503
classical:mask_logistic:pooled,1.0382589501885302,1.4052060232096109,0.36005422468748777,0.5849514703409486,0.5277287155936928,0.8295327257178461,0.052228968241461254
modern_2026:tabm:pooled,1.0426118691726072,1.506818654581127,0.3248739884454698,0.2666811326079398,0.808854854498511,0.7437719882542118,0.35279018480985347
