method,outer_target,sex,both_classes_observed,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
classical:xgboost:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8494444444444444,0.7105598857586235,0.5659093633621104,0.5266829846370502,0.18968995266926578,0.17227559173658366,0.7628865979381443,0.8011111111111111,0.6567164179104478,0.5238095238095238,0.88,0.76,-1.5034334367360183,1.986094023597905,0.1855770665305928
classical:catboost:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.8819059538709101,0.844452125093046,0.44252954515867216,0.4519565922995262,0.14037791564478583,0.14441145221125534,0.784037558685446,0.776551045950295,0.7444444444444445,0.7790697674418605,0.7127659574468085,0.8297872340425532,0.13681958038315922,1.3121759827796378,0.0933258945482699
classical:catboost:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8820847487931343,0.8445504976846437,0.49862286307730663,0.5208291157521127,0.16213720643428708,0.1719534239970517,0.7793427230046949,0.7578222778473092,0.6967741935483871,0.8852459016393442,0.574468085106383,0.8297872340425532,0.9255085400387709,2.1663392670455206,0.1101708928839113
classical:core_logistic:pooled,hungary,1.0,True,213.0,0.4413145539906103,0.8252279635258359,0.7460379368542843,0.5527984532947058,0.5338884051409883,0.18278096472376937,0.1747991763612483,0.7699530516431925,0.7784730913642053,0.7655502392344498,0.6956521739130435,0.851063829787234,0.6808510638297872,-0.8582080484294408,1.452769061376193,0.21553131584858787
classical:core_logistic:pooled:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8252279635258359,0.7460379368542843,0.5250414443606438,0.5444516664618058,0.17349647473518257,0.1815391457151161,0.7511737089201878,0.7437868764527087,0.7071823204419889,0.735632183908046,0.6808510638297872,0.6808510638297872,0.46190186333799543,1.5779668116357122,0.14161661907413892
classical:elastic_net_logistic:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.45986053996066517,0.4742811744148308,0.8686597834693353,0.8627572227764484,0.3174405991070288,0.3143564663639039,0.43661971830985913,0.4477471839799749,0.4594594594594595,0.3984375,0.5425531914893617,0.23404255319148937,-0.21142808429697796,-0.14069933363858503,0.5572119123627813
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.4915966386554621,0.47253316494652947,0.6935150720433589,0.6931655214255883,0.2501839480941449,0.25000917774998577,0.4507042253521127,0.4793491864831039,0.5375494071146245,0.4276729559748428,0.723404255319149,0.24468085106382978,-0.2353357842606778,-0.07973754195254253,0.5271067134241659
classical:hist_gradient_boosting:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.881011979259789,0.8188481049279478,0.4348793026823526,0.43764759635933137,0.13675727292677853,0.13830418673913591,0.8169014084507042,0.8126676202395852,0.7891891891891892,0.8021978021978022,0.776595744680851,0.851063829787234,-0.07862104983304313,1.0822305216603527,0.09997448565836015
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.881011979259789,0.8188481049279478,0.5039216423999784,0.5193848966226522,0.16266435423775913,0.16961247830820653,0.7652582159624414,0.7485696406222064,0.6951219512195121,0.8142857142857143,0.6063829787234043,0.851063829787234,0.646008865455212,2.3828560131747296,0.09872946056467653
classical:lightgbm:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.8823529411764707,0.8302239131360792,0.43823876627368663,0.44491907391783037,0.13830570293158062,0.14146720757320874,0.7981220657276995,0.7891560879671018,0.7570621468926554,0.8072289156626506,0.7127659574468085,0.8085106382978723,0.018941505747237884,1.1053492043067221,0.10605031408829557
classical:lightgbm:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8823529411764707,0.8303013534262855,0.4874924408148877,0.4998848617331735,0.1553642149669542,0.16093476118295608,0.784037558685446,0.7698462363668872,0.7261904761904762,0.8243243243243243,0.648936170212766,0.8085106382978723,0.4175430281472563,2.0403603947911155,0.1034588896886918
classical:logistic:pooled,hungary,1.0,True,213.0,0.4413145539906103,0.8942428035043805,0.8854884036276458,0.48754869810789064,0.4658226303878109,0.1597632637218522,0.1512905350070461,0.7605633802816901,0.7745396030752727,0.7671232876712328,0.672,0.8936170212765957,0.8404255319148937,-1.1797732111400383,1.6088085660065368,0.1162500264245678
classical:logistic:pooled:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8942428035043805,0.8854884036276458,0.45125060025787417,0.46750263390376734,0.1410544375950266,0.14802432998958423,0.8169014084507042,0.8048453423922761,0.7719298245614035,0.8571428571428571,0.7021276595744681,0.8404255319148937,0.5873073475673758,1.954741135161509,0.09179934501225848
classical:logistic:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.9047917039156088,0.8882173248668304,0.4156282797162632,0.4269554910240418,0.12870035549842182,0.1333992694172418,0.8215962441314554,0.812399427856249,0.7840909090909091,0.8414634146341463,0.7340425531914894,0.8191489361702128,0.30467346361828784,1.6379335558324635,0.07078330366783163
classical:logistic:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.9047917039156088,0.8882173248668304,0.45765384418812005,0.46738234385702615,0.14216248270010565,0.1464913884504302,0.8262910798122066,0.8166011085285179,0.7885714285714286,0.8518518518518519,0.7340425531914894,0.8191489361702128,0.3570602214480546,2.3148132127343404,0.07296119718520191
classical:mask_logistic:pooled,hungary,1.0,True,213.0,0.4413145539906103,0.710665117110674,0.6365431081560072,0.8499030554944205,0.7931368380363021,0.3203212328242113,0.29422332383833166,0.4413145539906103,0.4988825317360987,0.6098360655737705,0.44075829383886256,0.9893617021276596,0.6595744680851063,-2.10908755705326,1.903216230273504,0.4959707136732855
classical:mask_logistic:pooled:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.710665117110674,0.6365431081560072,0.6931477112764858,0.6931468581370879,0.2500002653582703,0.2499998387885713,0.4413145539906103,0.4988825317360987,0.6098360655737705,0.44075829383886256,0.9893617021276596,0.6595744680851063,-0.23584253761501506,0.9999988235296435,0.4959707136732855
classical:random_forest:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.8984444841766493,0.8656453168194507,0.48466369634705814,0.48996686333056494,0.15243639704457765,0.15490486819481897,0.8356807511737089,0.8283568746647596,0.8044692737430168,0.8470588235294118,0.7659574468085106,0.8297872340425532,0.12038602385168176,2.482198286217547,0.0725894398185666
classical:random_forest:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8984444841766493,0.8656453168194507,0.44140779277902226,0.45495312555588513,0.13796024988432284,0.14367672300840675,0.8169014084507042,0.8048453423922761,0.7719298245614035,0.8571428571428571,0.7021276595744681,0.8297872340425532,0.4160669741843023,1.727287393689598,0.07539376823699558
