outer_target,control,training_seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
va_long_beach,histgb_structured,5066,empirical_source,4,200.0,0.745,0.6975917883932097,0.8572051599378412,0.5558666686446871,0.7851456062655648,0.18204713982804271,0.26425900883200226,0.73,0.5931043558362943,0.8280254777070064,0.7878787878787878,0.87248322147651,0.4429530201342282,0.5196749798494482,0.4961869054201556,0.15723516868515555
va_long_beach,histgb_structured,5066,empirical_source,5,200.0,0.745,0.6867350967232531,0.8540708108138639,0.5605291294208499,0.7931008221885048,0.18426745406853035,0.26836554699893544,0.725,0.5897486511383077,0.8242811501597445,0.7865853658536586,0.8657718120805369,0.4161073825503356,0.5348095384825247,0.48457906454368255,0.15956971153953764
va_long_beach,histgb_structured,5066,empirical_source,6,200.0,0.745,0.6928543229372286,0.8591601151753363,0.5626172230023336,0.7922384459353222,0.18687684782434963,0.2702432105577584,0.71,0.579681537044348,0.8129032258064516,0.782608695652174,0.8456375838926175,0.4966442953020134,0.540615111338169,0.4786034183052564,0.15553418582584783
va_long_beach,histgb_structured,5066,empirical_source,7,200.0,0.745,0.6783787340439532,0.8477990337773387,0.5755428202728177,0.8054885698577414,0.18955585494099036,0.27219672482992896,0.715,0.5765890248716936,0.8178913738019169,0.7804878048780488,0.8590604026845637,0.4563758389261745,0.5862126919380266,0.44761793920535464,0.16917239245907265
va_long_beach,histgb_structured,5066,empirical_source,8,200.0,0.745,0.6816028424792736,0.8501742719762508,0.5728930321446092,0.8072229642208133,0.18952355030778087,0.27323355319825926,0.715,0.5830372417423345,0.8167202572347267,0.7839506172839507,0.8523489932885906,0.40939597315436244,0.5662131916519062,0.45322110471320626,0.16459853678868186
va_long_beach,histgb_structured,5066,empirical_source,9,200.0,0.745,0.6909461771285695,0.8496658686802209,0.5676245263287071,0.7917212190956516,0.1870573183331034,0.26701991801268626,0.715,0.5830372417423345,0.8167202572347267,0.7839506172839507,0.8523489932885906,0.4899328859060403,0.5683717260695693,0.46861623839451394,0.16601824722344827
va_long_beach,histgb_structured,5067,natural,0,200.0,0.745,0.6862745098039216,0.8513452540647141,0.5675682982128694,0.7846910293824171,0.1867627409247943,0.26364305753905404,0.735,0.6222529280168443,0.8273615635179153,0.8037974683544303,0.8523489932885906,0.46308724832214765,0.584651827063341,0.4704073916725811,0.16582727319514928
va_long_beach,histgb_structured,5067,mcar_10,0,200.0,0.745,0.6703513620213186,0.8388188376894934,0.5725919048276653,0.785991792461282,0.18755070063076273,0.2642133909123678,0.745,0.6289643374128174,0.8349514563106796,0.80625,0.8657718120805369,0.3959731543624161,0.6198794215567281,0.4648216258031434,0.17724260911324669
va_long_beach,histgb_structured,5067,mcar_10,1,200.0,0.745,0.667851033030662,0.8362783520975814,0.5908100325996152,0.7838999966408939,0.19570432481327768,0.26316079845966234,0.715,0.6152783260955389,0.8106312292358804,0.8026315789473685,0.8187919463087249,0.4161073825503356,0.6972349413337866,0.43066019736882805,0.18633135552858804
va_long_beach,histgb_structured,5067,mcar_10,2,200.0,0.745,0.6926569285432295,0.8682987244963088,0.566251378310546,0.7410996538852879,0.19017857061109658,0.25865887897992634,0.725,0.6090933017502302,0.8208469055374593,0.7974683544303798,0.8456375838926175,0.4161073825503356,0.6424495840662007,0.49332606552527947,0.16533366813170136
