method,outer_target,policy,mask_replicate,class_0_n,class_0_log_loss,class_1_n,class_1_log_loss,balanced_log_loss
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,8,164,0.6176508067120684,139,0.47974199226781344,0.548696399489941
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,9,164,0.6258794585416063,139,0.46776255962545576,0.546821009083531
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,0,164,0.6129409883580229,139,0.4568110244787572,0.5348760064183901
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,1,164,0.6360140035466576,139,0.46283206131889904,0.5494230324327783
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,2,164,0.6349696463780458,139,0.4645529844611342,0.54976131541959
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,3,164,0.6325761106902382,139,0.46589484679681936,0.5492354787435287
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,4,164,0.6071452664246073,139,0.46742517616852086,0.5372852212965641
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,5,164,0.6208197508249275,139,0.47882124276404536,0.5498204967944864
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,6,164,0.6191391763048711,139,0.47545816786026723,0.5472986720825692
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,7,164,0.619952366160065,139,0.44661153393382685,0.5332819500469459
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,8,164,0.6549274435863546,139,0.4817926351345541,0.5683600393604543
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_10,9,164,0.6068543114635797,139,0.47284886285195993,0.5398515871577698
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,0,164,0.693426520820756,139,0.4654201796758876,0.5794233502483218
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,1,164,0.7421114256620859,139,0.4492367203449051,0.5956740730034955
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,2,164,0.788237232538266,139,0.4244604307586569,0.6063488316484615
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,3,164,0.7416033026084522,139,0.472894412214305,0.6072488574113786
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,4,164,0.7421834201543722,139,0.43533213886603855,0.5887577795102054
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,5,164,0.7295743206438949,139,0.4544700727851764,0.5920221967145357
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,6,164,0.7626722552578394,139,0.45071464930509586,0.6066934522814676
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,7,164,0.7425187301149432,139,0.42027263387620406,0.5813956819955737
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,8,164,0.7421680174817699,139,0.44745752647205594,0.594812771976913
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_30,9,164,0.7859034945933009,139,0.4539364157156055,0.6199199551544532
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,0,164,0.8523300351166276,139,0.43808241810272525,0.6452062266096764
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,1,164,0.8626430834224498,139,0.43309902534417233,0.647871054383311
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,2,164,0.8073908930668081,139,0.4762280982923613,0.6418094956795847
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,3,164,0.8370972807410537,139,0.40568837983919825,0.6213928302901259
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,4,164,0.8873797913144728,139,0.4124815919005145,0.6499306916074936
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,5,164,0.8409986235849305,139,0.45033133738106373,0.6456649804829971
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,6,164,0.8529891294538524,139,0.43705581293815954,0.645022471196006
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,7,164,0.8611754252217741,139,0.4710378427249974,0.6661066339733858
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,8,164,0.9079332200270953,139,0.4258433841137852,0.6668883020704403
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mcar_50,9,164,0.8437434443657843,139,0.43436187159531703,0.6390526579805507
classical:catboost:site_class_balanced:source_oof_platt,cleveland,natural,0,164,0.5601094280459469,139,0.477742033378724,0.5189257307123354
classical:core_logistic:pooled,cleveland,drop_advanced,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,drop_exercise,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,drop_routine,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,1,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,2,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,3,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,4,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,5,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,6,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,7,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,8,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,empirical_source,9,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,1,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,2,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,3,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,4,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,5,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,6,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,7,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,8,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mar_age_sex_30,9,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled,cleveland,mcar_10,0,164,0.752674175326034,139,0.35520848843553965,0.5539413318807869
classical:core_logistic:pooled,cleveland,mcar_10,1,164,0.7800854040242426,139,0.35839342349444453,0.5692394137593436
classical:core_logistic:pooled,cleveland,mcar_10,2,164,0.8049049532708324,139,0.3566355712794705,0.5807702622751515
classical:core_logistic:pooled,cleveland,mcar_10,3,164,0.8065353985059379,139,0.34785635717122615,0.5771958778385821
classical:core_logistic:pooled,cleveland,mcar_10,4,164,0.7562510726844192,139,0.3670297713582482,0.5616404220213337
classical:core_logistic:pooled,cleveland,mcar_10,5,164,0.7865700573673321,139,0.3631052606553848,0.5748376590113584
classical:core_logistic:pooled,cleveland,mcar_10,6,164,0.789898301435778,139,0.36836938083591036,0.5791338411358442
classical:core_logistic:pooled,cleveland,mcar_10,7,164,0.7793334138853023,139,0.33628566045160135,0.5578095371684518
classical:core_logistic:pooled,cleveland,mcar_10,8,164,0.7893684917504841,139,0.36765978949874684,0.5785141406246155
classical:core_logistic:pooled,cleveland,mcar_10,9,164,0.7663262303094137,139,0.37223219684366404,0.5692792135765389
classical:core_logistic:pooled,cleveland,mcar_30,0,164,0.8988932245333662,139,0.34028088543750873,0.6195870549854374
classical:core_logistic:pooled,cleveland,mcar_30,1,164,0.9293481795559113,139,0.3294977387675682,0.6294229591617397
classical:core_logistic:pooled,cleveland,mcar_30,2,164,0.9860849295010499,139,0.3037349891804974,0.6449099593407737
classical:core_logistic:pooled,cleveland,mcar_30,3,164,0.9530190684376083,139,0.3130509368467305,0.6330350026421694
classical:core_logistic:pooled,cleveland,mcar_30,4,164,0.9536563981270962,139,0.3269764158981837,0.6403164070126399
classical:core_logistic:pooled,cleveland,mcar_30,5,164,0.9367160117550328,139,0.32578334217120103,0.631249676963117
classical:core_logistic:pooled,cleveland,mcar_30,6,164,0.941231671927854,139,0.3371158884279193,0.6391737801778866
classical:core_logistic:pooled,cleveland,mcar_30,7,164,0.9314849168534818,139,0.31671517810170696,0.6241000474775944
classical:core_logistic:pooled,cleveland,mcar_30,8,164,0.9255847083294507,139,0.3328552448950917,0.6292199766122712
classical:core_logistic:pooled,cleveland,mcar_30,9,164,1.0284432658021192,139,0.33554161321681975,0.6819924395094694
classical:core_logistic:pooled,cleveland,mcar_50,0,164,1.1528855797249515,139,0.30275229950326454,0.727818939614108
classical:core_logistic:pooled,cleveland,mcar_50,1,164,1.101869277906581,139,0.2919212897065588,0.69689528380657
classical:core_logistic:pooled,cleveland,mcar_50,2,164,1.0808878578832284,139,0.3110948335451905,0.6959913457142095
classical:core_logistic:pooled,cleveland,mcar_50,3,164,1.1252156317664306,139,0.29282049308826874,0.7090180624273497
classical:core_logistic:pooled,cleveland,mcar_50,4,164,1.1616883218635636,139,0.2817466938760024,0.7217175078697831
classical:core_logistic:pooled,cleveland,mcar_50,5,164,1.0934052283777749,139,0.29347568485401293,0.6934404566158939
classical:core_logistic:pooled,cleveland,mcar_50,6,164,1.1542397607449055,139,0.3126170481184393,0.7334284044316725
classical:core_logistic:pooled,cleveland,mcar_50,7,164,1.1274616640701034,139,0.31633971016685364,0.7219006871184785
