omitted_site,rank,method,macro_site_worst_balanced_log_loss
va_long_beach,31,modern_2026:tabm:pooled:source_oof_platt,0.6920456274140937
va_long_beach,32,classical:core_logistic:pooled,0.7049933203051216
va_long_beach,33,classical:logistic:pooled,0.7108191604629903
va_long_beach,34,classical:mask_logistic:pooled:source_oof_platt,0.7133968962615196
va_long_beach,35,modern_2026:ft_transformer:pooled,0.7139039398169901
va_long_beach,36,modern_v2:ebm:site_class_balanced:source_oof_platt,0.7148971713483873
va_long_beach,37,modern_v2:ebm:site_class_balanced,0.7287555929990955
va_long_beach,38,tabpfn_v3:tabpfn:pooled,0.7553772878965672
va_long_beach,39,modern_2026:tabicl:pooled,0.7601086976354341
va_long_beach,40,modern_2026:realmlp:pooled:source_oof_platt,0.7813034076879021
va_long_beach,41,modern_v2:tabpfn:pooled,0.797857321312687
va_long_beach,42,modern_2026:tabm:pooled,0.8878762740364338
va_long_beach,43,modern_2026:realmlp:pooled,0.906337007702806
va_long_beach,44,classical:elastic_net_logistic:site_class_balanced,0.9696363636380184
va_long_beach,45,classical:mask_logistic:pooled,1.120332634173946
