outer_target,inner_validation,model,weighting,parameter_id,parameters_json,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,switzerland,ebm,site_class_balanced,3,"{""interactions"": 3, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",123.0,0.9349593495934959,0.7728260869565218,0.9739114479705799,0.6487027398715141,0.5927125040020494,0.2232241337191318,0.19680111748437132,0.6504065040650406,0.754891304347826,0.7724867724867724,0.9864864864864865,0.6347826086956522,0.7043478260869566,2.7974745041654225,0.8379293591473874,0.2939325752352085
cleveland,va_long_beach,ebm,site_class_balanced,3,"{""interactions"": 3, ""max_bins"": 256, ""max_rounds"": 5000, ""outer_bags"": 8}",200.0,0.745,0.7173312277931306,0.8832294892901722,0.5193247630223852,0.7456626596158097,0.17269342147255196,0.25861223026625546,0.75,0.6129753914988815,0.8417721518987342,0.7964071856287425,0.8926174496644296,0.4966442953020134,0.3231764813466775,0.6469129830424779,0.13194098391781311
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v2""}",294.0,0.36054421768707484,0.8879466077880369,0.8088973078978359,0.6396634782868713,0.5507038384046424,0.22303788442252379,0.1860731168220774,0.6768707482993197,0.7432256122039342,0.6864686468646864,0.5279187817258884,0.9811320754716981,0.7830188679245284,-2.230428239881646,1.8551353036903084,0.2492696595211543
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v2""}",123.0,0.9349593495934959,0.7239130434782609,0.9659084377096463,0.5251305863196091,0.6377713674014123,0.17246550947348604,0.2132735331833964,0.7723577235772358,0.7038043478260869,0.8653846153846154,0.967741935483871,0.782608695652174,0.46956521739130436,2.505198863215973,0.7350561301227929,0.15500907405890343
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 4, ""version"": ""v2""}",200.0,0.745,0.7285169101197526,0.8719385256251864,0.5390789097889783,0.681012571464537,0.17772405222584972,0.22687276011377566,0.75,0.6774575602052901,0.831081081081081,0.8367346938775511,0.825503355704698,0.46308724832214765,0.6503825864809051,0.6086324001156042,0.15186042298957758
cleveland,hungary,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",294.0,0.36054421768707484,0.8823765556001606,0.7975211934928792,0.6469258173810768,0.5553512774662096,0.22552291632610236,0.18783530809175047,0.6768707482993197,0.7411682055399438,0.6843853820598007,0.5282051282051282,0.9716981132075472,0.7735849056603774,-2.1927607812048744,1.7481807350619607,0.25549971645435166
cleveland,switzerland,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",123.0,0.9349593495934959,0.7271739130434783,0.9672152712984065,0.5428680404875154,0.6268106726754405,0.17984560499739646,0.21081900284220173,0.7479674796747967,0.6907608695652174,0.848780487804878,0.9666666666666667,0.7565217391304347,0.5217391304347826,2.5478792130492236,0.7256216313687687,0.17008758789823275
cleveland,va_long_beach,tabpfn,pooled,1,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v2""}",200.0,0.745,0.7315436241610738,0.8704606191950394,0.5274136131704428,0.682440105214466,0.17284556240446108,0.22874811940285958,0.76,0.6712725358599816,0.8410596026490066,0.8300653594771242,0.8523489932885906,0.5302013422818792,0.5720068214240195,0.6590313541341627,0.14705380176853483
hungary,cleveland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",303.0,0.45874587458745875,0.815099140200035,0.8066631807488228,0.5237448223922901,0.5293053401183132,0.17399816083059863,0.17617668462329117,0.7458745874587459,0.7427618880505351,0.717948717948718,0.7313432835820896,0.7050359712230215,0.697841726618705,-0.0214263640370769,0.9660287333555319,0.1473033451300493
hungary,switzerland,ebm,site_class_balanced,0,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 5000, ""outer_bags"": 8}",123.0,0.9349593495934959,0.7054347826086957,0.9638695978788325,0.5138172125484656,0.6409598294332174,0.16810309113618738,0.22039389344234914,0.7642276422764228,0.6994565217391304,0.8599033816425121,0.967391304347826,0.7739130434782608,0.24347826086956523,2.4044760330957513,0.8248385430555766,0.1410245663317377
