experiment,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
classical:random_forest,mcar_50,1,134.0,0.16417910447761194,0.7378246753246753,0.4207152539504355,0.45360283272664653,0.6801948817688068,0.13988027358997626,0.24135687441493994,0.835820895522388,0.591314935064935,0.3125,0.5,0.22727272727272727,0.6818181818181818,-0.3781427080283808,1.6741984550319235,0.08920505907329443
classical:random_forest,drop_laboratory,0,134.0,0.16417910447761194,0.7711038961038961,0.42505484338269217,0.46319590144041806,0.6096169405974003,0.14694593226546962,0.21268343405774875,0.8208955223880597,0.6737012987012987,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,-0.7854366618681501,1.6131566282749372,0.0725283752556167
classical:random_forest,drop_vital,0,134.0,0.16417910447761194,0.7629870129870129,0.4172115319797758,0.47717380031814094,0.6081288463961189,0.15392637881212945,0.2127651864582596,0.7835820895522388,0.6331168831168831,0.3829787234042553,0.36,0.4090909090909091,0.5454545454545454,-0.9549381295946818,1.4121573922952744,0.08067493196267919
observed:attention,natural,0,134.0,0.16417910447761194,0.7191558441558441,0.3371004067286081,0.6441547239493237,0.6358108567865635,0.2200686869833385,0.21628292424840023,0.7014925373134329,0.7118506493506493,0.4444444444444444,0.32,0.7272727272727273,0.36363636363636365,-1.621163367219721,0.5787130875053115,0.2579435253216647
observed:attention,mcar_30,0,134.0,0.16417910447761194,0.6278409090909091,0.22565298853506002,0.7519736587356959,0.7370281574893861,0.26478160172006243,0.25889824319380217,0.6044776119402985,0.617288961038961,0.345679012345679,0.23728813559322035,0.6363636363636364,0.2727272727272727,-1.6231129117821912,0.31289512946061526,0.39084022725215417
observed:attention,mcar_30,1,134.0,0.16417910447761194,0.7244318181818182,0.3432547903961497,0.6701313066609645,0.6288364473116739,0.2346530165994327,0.21691736213494078,0.6268656716417911,0.6672077922077921,0.3902439024390244,0.26666666666666666,0.7272727272727273,0.4090909090909091,-1.6938988792876202,0.6270654933772699,0.26135875549410925
observed:attention,mcar_50,0,134.0,0.16417910447761194,0.5856331168831169,0.19182650474186375,0.751521988742671,0.7558286601117923,0.2676776270775972,0.27162557633389106,0.582089552238806,0.5673701298701299,0.3,0.20689655172413793,0.5454545454545454,0.22727272727272727,-1.61058274871271,0.22081609051438864,0.4107368169774829
observed:attention,mcar_50,1,134.0,0.16417910447761194,0.661525974025974,0.29252650205751185,0.732632065671675,0.710664353469115,0.2580430304244917,0.2521401839979003,0.5970149253731343,0.5945616883116883,0.325,0.22413793103448276,0.5909090909090909,0.45454545454545453,-1.6641203388636987,0.42945213406632343,0.373585130485804
observed:attention,drop_laboratory,0,134.0,0.16417910447761194,0.7378246753246752,0.38822698952332646,0.5325109648729516,0.6146072852098361,0.17761181178977323,0.2114901024919157,0.746268656716418,0.7021103896103896,0.45161290322580644,0.35,0.6363636363636364,0.6363636363636364,-1.3815512691911254,0.8109678148445414,0.1503158428460234
observed:attention,drop_vital,0,134.0,0.16417910447761194,0.6935876623376624,0.34720465253287547,0.8125966517419317,0.6718286494097359,0.29032475754624265,0.23420005242510927,0.5597014925373134,0.6452922077922079,0.3655913978494624,0.23943661971830985,0.7727272727272727,0.36363636363636365,-1.8676123400817561,0.546875440953871,0.41313438778785183
observed:deepsets,natural,0,134.0,0.16417910447761194,0.698051948051948,0.3277928310891247,0.6242024709953292,0.6426982367949964,0.21414674799242306,0.22553065669079156,0.6716417910447762,0.6209415584415584,0.35294117647058826,0.2608695652173913,0.5454545454545454,0.5,-1.593166885939272,0.7353614517817028,0.3039862718590509
observed:deepsets,mcar_30,0,134.0,0.16417910447761194,0.6554383116883117,0.33764196728560425,0.6615081485801496,0.6622429247034755,0.23233433886888907,0.23440988880079794,0.6567164179104478,0.59375,0.3235294117647059,0.2391304347826087,0.5,0.4090909090909091,-1.6418919565441576,0.7179624186976968,0.35114475869809925
observed:deepsets,mcar_30,1,134.0,0.16417910447761194,0.6838474025974025,0.4081878022595345,0.6442957999640805,0.6310727826707723,0.22525265560574814,0.22172481599236485,0.664179104477612,0.6347402597402598,0.36619718309859156,0.2653061224489796,0.5909090909090909,0.45454545454545453,-1.6971838089739186,0.9058317569971062,0.31236535398491927
observed:deepsets,mcar_50,0,134.0,0.16417910447761194,0.6221590909090908,0.2814674222121406,0.7142932428314427,0.6990692049880154,0.2573739110095696,0.2494501012149606,0.5373134328358209,0.5953733766233766,0.32608695652173914,0.21428571428571427,0.6818181818181818,0.45454545454545453,-1.6727659863051703,0.5388877176469448,0.4419058115058877
observed:deepsets,mcar_50,1,134.0,0.16417910447761194,0.6704545454545455,0.3293014556405849,0.6966162501976785,0.6558096626385246,0.2496936418714965,0.2316466830569227,0.5895522388059702,0.6266233766233766,0.35294117647058826,0.23809523809523808,0.6818181818181818,0.5454545454545454,-1.75669676057439,0.8472127250519144,0.3976825271387254
observed:deepsets,drop_laboratory,0,134.0,0.16417910447761194,0.7025162337662337,0.3353023274515101,0.5849617064957199,0.6424626202369852,0.19810244502908383,0.22554672379246363,0.7014925373134329,0.6205357142857143,0.3548387096774194,0.275,0.5,0.5,-1.4889813419569298,0.7588881403970456,0.2595058127060569
observed:deepsets,drop_vital,0,134.0,0.16417910447761194,0.6935876623376623,0.32809494895627933,0.6079946633310735,0.6459409361334866,0.2072681604869095,0.22683852092003337,0.6791044776119403,0.6254058441558441,0.3582089552238806,0.26666666666666666,0.5454545454545454,0.5,-1.5463916420319155,0.7227725951318132,0.2875235061143096
