outer_target,router_candidate,feature_mode,validation_site,router_seed,best_epoch,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,support_plus_expert_context,expert_logit_context,va_long_beach,5062,1,1.0,0.5753480792045593,0.6944228410720825,0.5562880039215088,0.5957827568054199,0.650033175945282,0.0,0.5182309746742249,0.0,0.687312662601471
cleveland,anchor_relative_context,anchor_relative_context,hungary,5062,1,1.0,0.636937141418457,0.5732926726341248,0.6162155866622925,0.6590338945388794,0.661564826965332,0.0,0.6042085289955139,0.0,0.6876270174980164
cleveland,anchor_relative_context,anchor_relative_context,switzerland,5062,20,1.0,0.6137540340423584,0.6154961585998535,0.5861188769340515,0.6427642107009888,0.6743940711021423,0.0,0.4899110794067383,0.0,0.6874940991401672
cleveland,anchor_relative_context,anchor_relative_context,switzerland,5062,20,10.0,0.612858235836029,0.6149800419807434,0.5862827897071838,0.6408038139343262,0.6743940711021423,0.0,0.49093446135520935,0.0,0.6850181818008423
cleveland,anchor_relative_context,anchor_relative_context,switzerland,5062,20,20.0,0.6120423078536987,0.6145090460777283,0.5864760875701904,0.6389727592468262,0.6743940711021423,0.0,0.4921371340751648,0.0,0.6820998787879944
cleveland,anchor_relative_context,anchor_relative_context,va_long_beach,5062,1,1.0,0.5752173662185669,0.694629967212677,0.5562083721160889,0.5956010222434998,0.650033175945282,0.0,0.5180870294570923,0.0,0.68735671043396
hungary,support_only,support_only,cleveland,5062,20,1.0,0.771773099899292,0.6786355376243591,0.6681074500083923,0.7976633310317993,0.7185354232788086,0.07912790775299072,0.5896784663200378,0.0,0.6762115955352783
hungary,support_only,support_only,cleveland,5062,20,10.0,0.7636743783950806,0.6714450716972351,0.6658281087875366,0.7907061576843262,0.7185354232788086,0.07217073440551758,0.5887680053710938,0.0,0.6781127452850342
hungary,support_only,support_only,cleveland,5062,20,20.0,0.7539641857147217,0.6638474464416504,0.6630340814590454,0.782394528388977,0.7185354232788086,0.06385910511016846,0.5878192186355591,0.0,0.6796505451202393
hungary,support_only,support_only,switzerland,5062,20,1.0,0.8037136793136597,0.6205148100852966,0.6860517859458923,0.8217582106590271,0.7207885980606079,0.10096961259841919,0.6039049029350281,0.0,0.6761775612831116
hungary,support_only,support_only,switzerland,5062,20,10.0,0.7960823774337769,0.620454728603363,0.6839303374290466,0.815190315246582,0.7207885980606079,0.09440171718597412,0.6024664044380188,0.0,0.6788277626037598
hungary,support_only,support_only,switzerland,5062,20,20.0,0.7876594066619873,0.6204264760017395,0.6815992593765259,0.807935357093811,0.7207885980606079,0.08714675903320312,0.6010349988937378,0.0,0.6813104748725891
hungary,support_only,support_only,va_long_beach,5062,20,1.0,0.6476123332977295,0.8952828645706177,0.631017804145813,0.6655603647232056,0.6946035623550415,0.0,0.6212990880012512,0.0,0.6767401099205017
hungary,support_only,support_only,va_long_beach,5062,20,10.0,0.6452834010124207,0.8897965550422668,0.6298123598098755,0.662113606929779,0.6946035623550415,0.0,0.6202487349510193,0.0,0.6795708537101746
hungary,support_only,support_only,va_long_beach,5062,20,20.0,0.6425715088844299,0.8832969069480896,0.6283905506134033,0.6581166386604309,0.6946035623550415,0.0,0.6191168427467346,0.0,0.6820564270019531
hungary,support_plus_expert_context,expert_logit_context,cleveland,5062,20,1.0,0.7250168919563293,0.6708022952079773,0.658499002456665,0.75572270154953,0.7185354232788086,0.037187278270721436,0.5832113027572632,0.0,0.6876760721206665
hungary,support_plus_expert_context,expert_logit_context,cleveland,5062,20,10.0,0.7189278602600098,0.6675430536270142,0.6570895910263062,0.7503358125686646,0.7185354232788086,0.03180038928985596,0.5833092331886292,0.0,0.6850190162658691
hungary,support_plus_expert_context,expert_logit_context,cleveland,5062,20,20.0,0.7123202085494995,0.6647688746452332,0.6556493639945984,0.7444448471069336,0.7185354232788086,0.025909423828125,0.5836121439933777,0.0,0.6816163659095764
hungary,support_plus_expert_context,expert_logit_context,switzerland,5062,1,1.0,0.7434532046318054,0.622471809387207,0.6681225895881653,0.7704739570617676,0.7207885980606079,0.04968535900115967,0.5944867134094238,0.0,0.6877033114433289
hungary,support_plus_expert_context,expert_logit_context,va_long_beach,5062,20,1.0,0.6381147503852844,0.8353843092918396,0.6282530426979065,0.6493515372276306,0.6946035623550415,0.0,0.6161501407623291,0.0,0.6875398755073547
hungary,support_plus_expert_context,expert_logit_context,va_long_beach,5062,20,10.0,0.6371937990188599,0.8320693969726562,0.6280225515365601,0.6477354168891907,0.6946035623550415,0.0,0.6158128976821899,0.0,0.6852412223815918
hungary,support_plus_expert_context,expert_logit_context,va_long_beach,5062,20,20.0,0.6363303065299988,0.8289446830749512,0.6278553009033203,0.6461702585220337,0.6946035623550415,0.0,0.615567684173584,0.0,0.6824800968170166
hungary,anchor_relative_context,anchor_relative_context,cleveland,5062,20,1.0,0.7256382703781128,0.6707130670547485,0.6585484743118286,0.7563194632530212,0.7185354232788086,0.037784039974212646,0.5827344059944153,0.0,0.6877223253250122
hungary,anchor_relative_context,anchor_relative_context,cleveland,5062,20,10.0,0.7191423773765564,0.667271077632904,0.6572063565254211,0.750492513179779,0.7185354232788086,0.03195708990097046,0.5832124352455139,0.0,0.6856252551078796
hungary,anchor_relative_context,anchor_relative_context,cleveland,5062,20,20.0,0.7121331095695496,0.6640791296958923,0.6557955741882324,0.7441858649253845,0.7185354232788086,0.025650441646575928,0.5838685631752014,0.0,0.6828910708427429
hungary,anchor_relative_context,anchor_relative_context,switzerland,5062,1,1.0,0.7439209222793579,0.6222306489944458,0.6682060360908508,0.7708999514579773,0.7207885980606079,0.050111353397369385,0.5942656993865967,0.0,0.687690019607544
hungary,anchor_relative_context,anchor_relative_context,va_long_beach,5062,20,1.0,0.6377729177474976,0.8366262316703796,0.6280025839805603,0.6489183306694031,0.6946035623550415,0.0,0.6155816912651062,0.0,0.6875424385070801
hungary,anchor_relative_context,anchor_relative_context,va_long_beach,5062,20,10.0,0.6368415951728821,0.8339067697525024,0.627845048904419,0.6472078561782837,0.6946035623550415,0.0,0.6151338219642639,0.0,0.6848517656326294
