outer_target,inner_validation,control,parameter_id,parameters_json,seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
switzerland,cleveland,logistic_structured,0,"{""C"": 1.0}",5062,drop_exercise,0,303.0,0.45874587458745875,0.8299701702052992,0.7631221021439669,0.9718987351679969,1.0525974564063811,0.30362438577909195,0.3294413487052382,0.5544554455445545,0.5154851728373399,0.08163265306122448,0.75,0.04316546762589928,0.697841726618705,2.0376195345684414,0.7933068988319117,0.22414896192553346
switzerland,cleveland,logistic_structured,0,"{""C"": 1.0}",5062,drop_advanced,0,303.0,0.45874587458745875,0.854799087559221,0.8517751907642395,0.47875772145927054,0.49169029787125507,0.15132921360985965,0.15559076789341675,0.7953795379537953,0.7901386208106685,0.7651515151515151,0.808,0.7266187050359713,0.7553956834532374,0.21616503177052226,0.8571916032983187,0.12225637983421703
switzerland,cleveland,logistic_structured,0,"{""C"": 1.0}",5062,mar_age_sex_30,0,303.0,0.45874587458745875,0.8505878224249869,0.8205713737863454,0.6946602683545178,0.7444084805632705,0.20842141075949544,0.22373276206548032,0.7029702970297029,0.6806457273205826,0.5588235294117647,0.8769230769230769,0.41007194244604317,0.7338129496402878,1.1741189768505236,0.6665692627073302,0.17066812308077706
switzerland,cleveland,logistic_structured,0,"{""C"": 1.0}",5062,empirical_source,0,303.0,0.45874587458745875,0.8379540270222846,0.8334526896293224,0.50275379190065,0.5174008475135453,0.16285865270056554,0.16803577610643478,0.7623762376237624,0.7547157396034392,0.71875,0.7863247863247863,0.6618705035971223,0.7553956834532374,0.2719177723069324,0.8711747646817495,0.1307077126382902
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,natural,0,294.0,0.36054421768707484,0.9151445202729828,0.8758911061971114,0.35985680810867854,0.4177318133272167,0.11159276740179289,0.13346255007506333,0.8299319727891157,0.7929546366920914,0.7368421052631579,0.8333333333333334,0.660377358490566,0.8773584905660378,0.4537584102396426,1.310737119839528,0.055684786054038954
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,mcar_10,0,294.0,0.36054421768707484,0.9074668807707748,0.8713659713181472,0.3796862153905982,0.44009787338096074,0.1174072748491583,0.14038774606992346,0.8333333333333334,0.7935568044961863,0.7379679144385026,0.8518518518518519,0.6509433962264151,0.8679245283018868,0.48421727172617096,1.4145937807912876,0.0636363782618419
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,mcar_30,0,294.0,0.36054421768707484,0.8709855479727018,0.8241591115537614,0.4351681970902144,0.49106156600002643,0.138308421372707,0.16098905344176231,0.7993197278911565,0.754616619831393,0.6810810810810811,0.7974683544303798,0.5943396226415094,0.8018867924528302,0.28584326080784594,1.4486086617576748,0.0849439670289243
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,mcar_50,0,294.0,0.36054421768707484,0.8466981132075471,0.7802299981301262,0.48053448396059883,0.5286675005338055,0.15415876686597138,0.17431937737178083,0.7925170068027211,0.7513548775592132,0.6772486772486772,0.7710843373493976,0.6037735849056604,0.7358490566037735,0.1607711394625655,1.6144555681087278,0.11097994039866876
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,drop_routine,0,294.0,0.36054421768707484,0.9140907266158169,0.8679584164388182,0.363373790012683,0.419512708329571,0.11169737431479568,0.13293617946414307,0.8367346938775511,0.8044460056202328,0.7525773195876289,0.8295454545454546,0.6886792452830188,0.8679245283018868,0.42900664567380187,1.3451314483589105,0.057676541033600995
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,drop_exercise,0,294.0,0.36054421768707484,0.8542252107587315,0.7709410712207317,0.47022383228203085,0.5464917432171741,0.15294269181230263,0.18387714562768034,0.7891156462585034,0.7445804897631474,0.6666666666666666,0.775,0.5849056603773585,0.8113207547169812,0.5964153230823823,1.537939222265726,0.1039749277328665
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,drop_advanced,0,294.0,0.36054421768707484,0.9084704937775993,0.8658853691168473,0.3724246619318713,0.4339721148281098,0.11664829549178006,0.13993676697555546,0.8231292517006803,0.7835206744279406,0.723404255319149,0.8292682926829268,0.6415094339622641,0.8773584905660378,0.4484529762673664,1.2536517910754632,0.060104910518108984
