outer_target,experiment,variant,epochs,config_sha256,policy,mask_replicate,diagnostic_mode,calibration_intercept,calibration_slope,estimated_target_prevalence_mlls,estimated_target_prevalence_soft_bbse,diagnostic_best_prior,diagnostic_best_statistic,diagnostic_p_value,diagnostic_accepted_interval_low,diagnostic_accepted_interval_high,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,adaptation_allowed
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,8.0,composite_multiview_v3,-0.0307748695475497,0.6265806571568975,0.3439780161453655,0.4861698656992704,0.5,0.2065589508431856,0.005,,,True,True,0.1254125412541254,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_30,9.0,composite_multiview_v3,0.0080217962527001,0.6431691268476939,0.4037559934813273,0.5002747868163215,0.5,0.1927272780824654,0.005,,,True,True,0.1155115511551155,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,0.0,composite_multiview_v3,0.0796456144931066,0.6955930092516822,0.5359351223200451,0.5546409485222961,0.6,0.0979467436674742,0.005,,,True,True,0.2376237623762376,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,1.0,composite_multiview_v3,-0.0029011811506125,0.5755370740794813,0.4092978944234327,0.5560197928459978,0.65,0.1320172064715308,0.005,,,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,2.0,composite_multiview_v3,0.0444258322731111,0.5890651043850962,0.3743142010752925,0.4848464377829717,0.55,0.0931786007799619,0.005,,,True,True,0.264026402640264,0.1538461538461538,0.3076923076923077,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,3.0,composite_multiview_v3,0.0631688735975055,0.592302552927596,0.5328500773203974,0.6073634351936923,0.7,0.0829926108678732,0.005,,,True,True,0.2739273927392739,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,4.0,composite_multiview_v3,0.1376661261261749,0.6816086453102704,0.6284055649195601,0.6122498249368689,0.65,0.0940902842283325,0.005,,,True,True,0.3168316831683168,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,5.0,composite_multiview_v3,0.0338795183184425,0.54826773158127,0.4173211947955103,0.5149449354563637,0.6,0.1429912217975982,0.005,,,True,True,0.2574257425742574,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,6.0,composite_multiview_v3,0.0592799776216708,0.6391258293720319,0.4780143718871916,0.5922891984514003,0.65,0.0849623589245814,0.005,,,True,True,0.2772277227722772,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,7.0,composite_multiview_v3,0.0025004370968681,0.4628008348753012,0.3570532534360972,0.5607868476586337,0.6,0.0891360419598355,0.005,,,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,8.0,composite_multiview_v3,0.164782716371338,0.69503122561515,0.6747942715803544,0.6654618836511542,0.75,0.0995226875591207,0.005,,,True,True,0.2607260726072607,0.1538461538461538,0.2307692307692307,False
