outer_target,experiment,variant,epochs,config_sha256,view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0179618042952634,0.003164129229376,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,6.0,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.8,0.0477188328281978,0.0038132207221247,0.005,False,0.05,128.0,3.849416089209848,empirical_source,6.0,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0239594578781898,0.0028366455908727,0.005,False,0.05,384.0,,empirical_source,6.0,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.0011508294305605,0.0021413434734105,0.185,True,0.05,128.0,1.0001737152550896,empirical_source,7.0,composite_multiview_v3,False,True,True,0.9702970297029704,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0190855818729564,0.0030324934888258,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,7.0,composite_multiview_v3,False,True,True,0.9702970297029704,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.0386502258171801,0.0042373377600011,0.005,False,0.05,128.0,3.947903726207487,empirical_source,7.0,composite_multiview_v3,False,True,True,0.9702970297029704,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.4,0.0262785487395761,0.0025167950314799,0.005,False,0.05,384.0,,empirical_source,7.0,composite_multiview_v3,False,True,True,0.9702970297029704,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.35,0.0003184421972272,0.0020177762740796,0.7,True,0.05,128.0,1.00548042809851,empirical_source,8.0,composite_multiview_v3,False,False,False,0.9174917491749176,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0216114435788191,0.0036086200458584,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,8.0,composite_multiview_v3,False,False,False,0.9174917491749176,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.0486258191922836,0.004476336431096,0.005,False,0.05,128.0,3.78762897715378,empirical_source,8.0,composite_multiview_v3,False,False,False,0.9174917491749176,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0277453864043459,0.002674423572012,0.005,False,0.05,384.0,,empirical_source,8.0,composite_multiview_v3,False,False,False,0.9174917491749176,0.0769230769230769,0.1538461538461538
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.3,0.0004406512479406,0.0031540303867449,0.675,True,0.05,128.0,1.0114333281801668,empirical_source,9.0,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0180825170607621,0.0029341396567943,0.005,False,0.05,128.0,2.2128682345625577,empirical_source,9.0,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.7,0.0475233983977627,0.0057741903321229,0.005,False,0.05,128.0,3.3124383963471216,empirical_source,9.0,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.0769230769230769
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.35,0.0239944759644163,0.0032002089136727,0.005,False,0.05,384.0,,empirical_source,9.0,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.0769230769230769
